快捷键,作用
Ctrl+Shift+P,显示命令行面板
Ctrl+B,显示/隐藏侧边栏
Ctrl+J,显示/隐藏控制台
Ctrl+Shift+N,重新打开一个软件的窗口
Ctrl+Shift+W,关闭软件的当前窗口
Ctrl+N,新建文件
Ctrl+W,关闭当前文件
